imageUrl,hue,saturation,lightness,vibrant,muted,darkVibrant,darkMuted,lightVibrant
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05146.jpg,21.95,39.05,50.00,#b1724d,#8e8680,#492f20,#604b3a,#d6b5a2
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05143.jpg,25.95,49.33,50.00,#be7740,#887870,#382313,#674a35,#ddb89b
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05140.jpg,22.50,11.94,50.00,#8e7b70,#a58873,#4a403a,#463730,#c4bab4
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05138.jpg,22.94,47.22,57.65,#c68760,#a87453,#8f3b2b,#54453b,#eecc91
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05135.jpg,0.00,6.35,50.00,#877777,#947756,#463e3e,#413c39,#c0b8b8
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05132.jpg,40.70,51.57,43.73,#a98436,#837a73,#785627,#393127,#f1edc0
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05129.jpg,31.22,51.90,46.47,#b47939,#967460,#6e2d1a,#4b403b,#d8b67d
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05126.jpg,37.32,41.00,60.78,#c4a572,#957648,#543b1c,#50473d,#efd295
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05123.jpg,23.39,39.60,50.00,#b1744d,#a09071,#68442d,#4f3625,#d4c49c
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05120.jpg,42.95,42.60,56.27,#bfa460,#90745f,#6f452b,#443424,#eed084
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05117.jpg,41.87,65.88,58.63,#dbb150,#a17f4a,#6c2c1c,#514031,#c9ac5a
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05114.jpg,40.29,54.15,50.39,#c5983c,#b5996f,#88582d,#3d2e21,#f2d6b4
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05111.jpg,35.29,35.05,38.04,#83673f,#9b8c68,#291413,#4e3d2f,#d3c0a5
